name,price,description,stock,image,keyword,precaution,ingredients,uses,category
surakta,95,"Baidyanath Surakta is an ayurvedic syrup that is used to reduce acne, pimples and aid from other skin issues as well as to improve the natural radiance of the skin from within. It is also used for detoxification of the liver and in the correction of auto-immunity.",130,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440477270_Surakta.jpg?alt=media&token=image,"surakta,pimple,acne,skin problem,funshi , phunsi phode","Avoid smoking and alcohol, Avoid resisting the urge to use the toilet, Avoid taking laxatives","Anantmool, Chirayta, Sanay, Nishoth, Haritaki, Amaltas Guda, Kalmegh, Giloy, Neem Chaal, Manjishtha, Daruhaldi, Kanchnar Chhal, Haridra, Neelkanthi, Lalchandan and more.","Take 4 spoons of the Baidyanath Surakta Syrup twice daily, or as is prescribed by the physician.",627cae14412fc0e68820c48b
pimpcare syrup ,82,"Pimpcare Syrup is an Ayurvedic Syrup that Use for Removes Acne, Pimples and Also purifies Blood. Purifies Blood and eliminates toxic materials out of the body. Removes under Eye circle , wrinkles and age spots.",140,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440461919_pimpcare syrup.jpg?alt=media&token=image,"pimpcare syrup ,pimple,acne,skin problem,funshi","This product may contain inactive ingredients which can cause allergic reactions or other problems, During pregnancy this medication should be used only when clearly needed, Tell your doctor right away if you get sunburned or have skin blisters redness","Mahamanjishthadi Kwath, Trifala, Galo, Neem, Vasaka, Harida, Kutaj, Lodhra, Anantmul, Gandhak Rasayan",2-3 Teaspoonful 3 times a day,627cae14412fc0e68820c48b
safi,220,"Safi is an Unani medicine which claims to be a blood-purifier. It is produced by Hamdard Laboratories (Waqf) in Ghaziabad India, as well as in Pakistan and in Bangladesh. According to the package, it ""corrects the digestive system, relieves constipation, prevents and cures boils, pimples, and skin eruptions.""",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440444544_safi.jpg?alt=media&token=image,"safi,pimple,acne,skin problem,funshi ,khun saf","Safi can cause retching and vomiting like tendencies in some people, Safi is a mild laxative and a diuretic which aids in the movement of bowels and fluids from the body, In the initial phase of taking Safi one may experience frequent bowel movements and frequent urination","Sana,Harar,Tulsi,Kasni,Shora desi,Sheesham,Chiraita,Chob chini,Unnab,Sandal,Nilkanthi,Keekar,Revand chini,Gilo,Neem,Brahmi,Qand safaid",Take 2 tablespoons regularly or use as directed by your physician ,627cae14412fc0e68820c48b
cart fit,399,Cart-fit tablets this formula is designed for knee cartilage damage pain,40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440516798_cart fit.jpg?alt=media&token=image,"cart fit,bones problem,Ankylosing spondylitis , cartilage ,ghatiya ,ghutne dard , kartilge,gathiya","Use its dose only according to the instructions given by the doctor, Do not take more than the recommended dose, Read the label carefully before use, Keep in a cool and dry place, away from sunlight, Keep out of reach of children.","Allium Sativum(Garlic Extract) 75mg,Boswellia Serrata (Shallaki ECAxtract) 100mg,Boerhaavia diffusa(Punarnava Extract) 100mg,Zingiber Officinale(Sonth Extract) 100mg,Commiphora mukul(Guggul Extract) 100mg", As directed by physician,627cae62412fc0e68820c491
majoon sahar,260, Majoon Sara is a medicine which is useful in convulsion in adult and children as well. It gives the strength to the brain and nervous system. It is beneficial in fits and decreased the episodes of fits gradually.,30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440531248_majoon sahar.png?alt=media&token=image,"majoon sahar,bones problem,Ankylosing spondylitis ,hadiyo me dard","Use its dose only according to the instructions given by the doctor, Do not take more than the recommended dose, Read the label carefully before use, Keep in a cool and dry place, away from sunlight, Keep out of reach of children.","Shatapushpa,Shunthi,Markandika,Bhasma", As directed by physician,627cae62412fc0e68820c491
"healer kit
",8000,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 Hit Points, without needing to make a Wisdom (Medicine) check.",100,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440559559_Ankylosing Spondylitis Healer Kit.png?alt=media&token=image,"healer kit,bones problem,Ankylosing spondylitis ,haddi,hadi","If you have skin cuts/infections/sores  health problems, consult your doctor or pharmacist before using this product, It is not known whether this drug passes into breast milk. Consult your doctor before breast-feeding, Tell your doctor right away if you get sunburned or have skin blisters/redness","bandages, salves, and splints", As directed by physician,627cae62412fc0e68820c491
ankylocare,720,"Ankylocare Capsule naturally helps in the maintenance of healthy joints and keeps the body flexible. It is a product that stops fusion of the joints in case of Ankylosing spondylitis, strengthens muscles, improves flexibility and removes inflammation from your joints.",45,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440581512_ankylocare.jpg?alt=media&token=image,"ankylocare,bones problem,Ankylosing spondylitis ,haddi","This product may contain inactive ingredients which can cause allergic reactions or other problems, During pregnancy this medication should be used only when clearly needed, Tell your doctor right away if you get sunburned or have skin blisters redness","Pongamia Pinnata, Moringa, Piper, Allium Cepa, Coconut Oil ", As directed by physician,627cae62412fc0e68820c491
Strong Joint - Ayurveda One,300,"Strong joint has herbs that reduces inflammation in the joints, increases blood supply to the connective tissues and helps in protecting the cartilages as well as it helps in increasing the lubrication of the joint.",80,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442566030_Strong joint.jpg?alt=media&token=image,"Strong Joint - Ayurveda One,back pain,pit ka dard,back me dard,bone pain,haddi ","consult your doctors for its usage during pragnancy, it is usually prescribed in a lower dose during lactation and in children","Chingati satwa,Shallaki,Haridra",1 tablet twice daily or as directed by the physician,627cae62412fc0e68820c491
fitback capsules,299,"Shushen Herbal Fitback capsules is prepared from potent ayurvedic ingredients like Parijat pusp, Godanti Bhasma, Yograaj guggul, Ekangveer and Vaatgajankush ras etc. which relieves in various pains caused by vata dosha.
Reduce the rheumatic and lumber pain in our body",40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440614666_VISHAMUSHTI VATI .jpg?alt=media&token=image,"fitback capsules,back pain,pit ka dard,back me dard,bone pain , haddi ","Aripiprazole is not approved by the Food and Drug Administration (FDA) for the treatment of behavior problems in older adults with dementia, do not divide crush or chew, Do not try to push the orally disintegrating tablet through the foil","Shushen Herbal Fitback capsules is prepared from potent ayurvedic ingredients like Parijat pusp, Godanti Bhasma, Yograaj guggul, Ekangveer and Vaatgajankush ras etc. which relieves in various pains caused by vata dosha.",Consume one capsule twice in a day with water.For a long lasting result it is recommended to use it for atleast 90 days.,627cae62412fc0e68820c491
vishamushti vati,110,VISHAMUSHTI VATI by SDM is an ayurvedic medicine which is an excellent analgesic and anti-inflammatory,30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440614666_VISHAMUSHTI VATI .jpg?alt=media&token=image,"vishamushti vati,back pain,pit ka dard,back me dard,bone pain","Extensive use causes nervous disability, paralysis & weakness of limbs, Do check the list of ingredients and their contraindications to avoid any side effects, Do not use any medicine during pregnancy without consulting doctor.","Each tablet of 250 mg. contains Rasa sindura (Red sulfide of mercury), Lauh bhasma (Calcined iron), Jaiphala (Myristica fragrans), Lavang (Syzygium aromatics), Sukshmaila (Elettaria cardamum), Sharkara (Sugar)-25mg. (each of the above ingredients), Shudh kuchla (Strychnos nux-vomica)-100 mg., Bhavanarth dravya: Prepared in the decoction of Dashmoola Kwath (decoction of ten roots)—Q.S. (for mardana).",2-3 tablets 2-3 times a day or As directed by the physician,627cae62412fc0e68820c491
baidyanath Madhumehari,153,"Baidyanath Madhumehari Yog Tablet contains Trivang Bhasma, Gudmar Patra, Neem Patra, Jamun Guthali, Shudha Shilajeet, Swarna Bhasma as active ingredients. It controls the blood sugar level and provides relief in excessive thirst and urination problems.",59,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441366006_baidyanath_madhumehari.jpg?alt=media&token=image,"baidyanath Madhumehari,diabetes,sugar,madhumeh,mithe ki bimari,sugar ,sugar ki bimari ,sugar ki davai","consult your doctors for its usage during pragnancy, it is usually prescribed in a lower dose during lactation and in children","Gudmar,Jamun,Guduchi,Shilajeet,Trivang Bhasma
","5 mg or 2 tsp.Dissolved with half cup water.Consume before meals or as directed by physician.
",627cae31412fc0e68820c48d
madhumeha sugar nash,80,Helps to stop sugar craving. Helps to maintains healthy blood sugar level that is already within normal limits. Helps to maintains optimum body weight and optimizes many body functions. Helps to balance the healthy sugar level.,54,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441343968_madhumeha sugar nash.jpeg?alt=media&token=image,"madhumeha sugar nash,diabetes,sugar,madhumeh,mithe ki bimari,sugar davai","Use its dose only according to the instructions given by the doctor, Do not take more than the recommended dose, Read the label carefully before use, Keep in a cool and dry place, away from sunlight, Keep out of reach of children.","Enriched with the traditional goodness of Karala Beez, Methi, Neem, Dumur, Jam Beez, Gulancha, Mesh Sringi, Kalmegh, Chirata etc.","1 tea-spoon in empty stomach, twice daily or as directed by physician.",627cae31412fc0e68820c48d
diabecon ds,178,,34,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441381022_diabecon ds.jpg?alt=media&token=image,"diabecon ds,diabetes,sugar,madhumeh,mithe ki bimari,diabeties ki davai ,sugar davai","consult your doctors for its usage during pragnancy, it is usually prescribed in a lower dose during lactation and in children","Gymnema,Pitasara,Shilajeet",Please consult your physician to prescribe the dosage that best suits the condition.,627cae31412fc0e68820c48d
dybestex,565,"Dybestex Liquid (Sugar Control Syrup) is a unique formulation of Gudmar, Karela, Amla, Jambu Seeds, Bivala, Guduchi, Mamejawa, Belpatra, Haldee, and Trikatu. It has carminative, electrolyte balancing, anti-diabetic, antilipidemic, antioxidant, rejuvenating and hypoglycemic properties. Jambu, Karela, Gudmar, and Mamejawa helps in blood sugar management effectively. ",43,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441393221_dybestex.PNG?alt=media&token=image,"dybestex,diabetes,sugar,madhumeh,mithe ki bimari,sugar ","Use its dose only according to the instructions given by the doctor, Do not take more than the recommended dose, Read the label carefully before use, Keep in a cool and dry place, away from sunlight, Keep out of reach of children.

","Gudmar extract, Vijaysar extract, Jamun extract, Turmeric extract, Karela extract, Mamejawa extract, Miri extract",It should be taken on empty stomach before meals. For better results it should be taken with warm water.,627cae31412fc0e68820c48d
