name,price,description,stock,image,keyword,category
Stream CP-3,1385,"It works effectively to fight against various infections and diseases and thereby gaining quick recovery. Stream CP-3 synergistically combines ingredients helps to fight high cholesterol levels, obesity and diabetes and maintains optimal health. Curcumin is the active constituents of turmeric.",45,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442006495_Stream CP-3.jpg?alt=media&token=image,"Stream CP-3,Anti aging                           ,elery,skin problem,twacha rog",627cae14412fc0e68820c48b
Antiageing support(s1),956,Miracle Drinks ANTI AGEING SUPPORT (S1) acts as a good maintenance for the body and prevents the occurrence of many diseases. It basically knocks the dormant stem cells and activate them to function properly for a fit body and have a healthy life. It is like Elixir.,67,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442022157_ANTI AGEING SUPPORT (S1).jpeg?alt=media&token=image,"Antiageing support(s1),Anti aging                           ,elery,skin problem,twacha rog",627cae14412fc0e68820c48b
Nirmali blood purifier,492,"Nirmali Syrup is an herbal blood purifier. An Ayurvedic formulation, it helps against many skin problems like a pimple, boils, acne, skin ulcers and skin infections. Enriched with natural ingredients, it has no side effects and helps in removing toxins and provides you with glowing skin",87,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442048484_Nirmali Blood Purifier.png?alt=media&token=image,"Nirmali blood purifier,Anti aging                           ,elery,skin problem,twacha rog",627cae14412fc0e68820c48b
 SriSri brahma Rasayana,130,"Sri Sri Tattva Brahma Rasayana is an ayurvedic medicine that is primarily used for the treatment of Antioxidant, Nerve Weakness, Stress. Secondary and off-label uses of Sri Sri Tattva Brahma Rasayana have also been mentioned below. The key ingredients of Sri Sri Tattva Brahma Rasayana are Amla, Shalparni, Honey.",36,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442069269_SriSri brahma Rasayana.jpg?alt=media&token=image," SriSri brahma Rasayana,Anti aging                           ,elery,skin problem,twacha rog",627cae14412fc0e68820c48b
30M Stress Free Sleep Capsules,230,"30M Stress Free Sleep Capsules is an Ayurvedic supplement that provides deep calm, relaxation helps you relieve stress, anxiety, sleeplessness ( insomnia/anidra), and hypertension.",56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441800164_30M Stress Free Sleep Capsules.jpg?alt=media&token=image,"30M Stress Free Sleep Capsules,depression,anxiety,tention",627cad2b412fc0e68820c482
nidramitra-tablet,895,"NIDRAMITRA by BRIHATRI is an ayurvedic proprietary medicine. It is a rational blend of herbs which induces sound sleep and enhances the quality of sleep. It is a safe formula, non-addictive and with no side effects. NIDRAMITRA by BRIHATRI is an ayurvedic proprietary medicine.",78,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441979516_nidramitra-tablet.jpg?alt=media&token=image,"nidramitra-tablet,depression,anxiety,tention",627cad2b412fc0e68820c482
SuAyu SleepAid,160,"SleepAid, is a complete solution for sleep disorders. SleepAid has significant anti-stress & anti-depressant activity, it is sedative & improves sleep pattern. Herbs like Jatamansi, Jayfal & Tagar are known to relieve insomnia (Sleeplessness) & reduce anxiety and depression.",89,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441937765_SuAyu SleepAid.png?alt=media&token=image,"SuAyu SleepAid,depression,anxiety,tention",627cad2b412fc0e68820c482
Sunidra Tablet,190,"SUNIDRA TAB by BAIDYANATH, a propritary medicine for inducing and maintaining sound sleep. INDICATIONS: Helps to get sound sleep, Relieve the problems occurring due to disturbed sleep like headache, irritation, fatigue etc, reduce snoring. DOSAGE: 1-2 before bedtime or as directed by physician.",90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652441960539_Sunidra Tablet.png?alt=media&token=image,"Sunidra Tablet,depression,anxiety,tention",627cad2b412fc0e68820c482
AllerKhand Choornam,85,"Allerkhand, a versatile Immunity booster brings together the potent clinically proven anti-inflammatory & anti-histaminic action of Curcumin or Indian Turmeric with a choice list of ingredients like Indian gooseberry, Myrobalan, Tropical almond, Nutgrass and Caltrop.",79,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442121617_AllerKhand Choornam.jpg?alt=media&token=image,"AllerKhand Choornam,fatique,mental health problem,anxiety,depression",627cad2b412fc0e68820c482
C.H.Quath_,180,"Purifies blood, elliminates toxins and stregthens liver function. It promotes respiratory health and improves blood circulation. Improves memory and concentration. Excellent aprodisiac, ensures reproductive health in both men and women.",88,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442104527_C.H.Quath_.jpg?alt=media&token=image,C.H.Quath_,627cad2b412fc0e68820c482
gulvalex-,175,Gulvalex capsule is encapsulated extract of Guduchi or Giloya (called Tinospora cordifolia in Latin) that normalises the physiological activity of muscles and nerves in all the three genders and mitigates the pains .,65,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442139133_gulvalex-.jpg?alt=media&token=image,"gulvalex-,fatique,mental health problem,anxiety,depression",627cad2b412fc0e68820c482
Dabur Stresscom Ashwagandha,70,"Dabur Stresscom Capsule is an ayurvedic medicine that helps to relieve stress, general debility, fatigue, anxiety, neurosis and delay premature old age-related issues. The capsules contain Ashwagandha, which is an effective anti-stress agent and one of the most potent adaptogens as recommended in Ayurveda.",30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442155489_Dabur Stresscom Ashwagandha .jpg?alt=media&token=image,"Dabur Stresscom Ashwagandha,,fatique,mental health problem,anxiety,depression",627cad2b412fc0e68820c482
GT Capsule for Osteoarthritis ,800,"Kerala Ayurveda GT Capsule is a soft gelatin capsule that is a triple-fortified gulguluthikthaka gritham. It is effective for the treatment of osteoarthritis, cervical and lumbar spondylosis and other degenerative diseases and also fights non-healing ulcers.",67,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442180852_GT Capsule for Osteoarthritis .png?alt=media&token=image,"GT Capsule for Osteoarthritis ,joint pain,jodo ka dard",627cadc6412fc0e68820c487
maharasnadi-kashaya-tablet-,55,"MAHARASNADI KASHAYAM TAB by AVN FORMUATIONS is an ayurvedic classical decocotion modified into tablet form. It is helpful in pain, vata disorders, infertility, circulatory problems. INDICATIONS: Cervical spondylosis, parkinson's, facial palsy, sciatica, facial paralysis, arthritis.",80,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442202627_maharasnadi-kashaya-tablet-.jpg?alt=media&token=image,"maharasnadi-kashaya-tablet-,joint pain,jodo ka dard","627cadc6412fc0e68820c487"
Shallaki Extract Capsules-,35,Himalaya Shallaki Tablet is used as a supplement for patients with bone and joint disorders to ease the symptoms. Boswellia serrata extract prevents the degeneration of joint cartilage and decreases pain. It also prevents cell damage and reduces the inflammation of the joints.,89,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442219067_Shallaki Extract Capsules-.jpg?alt=media&token=image,"Shallaki Extract Capsules-,joint pain,jodo ka dard","627cadc6412fc0e68820c487"
Rumalaya forte,150,"A unique formulation with a combination of potent herbs like Boswellia and Indian Bdellium. Effective in indications like gout, arthralgia, osteoarthritis, cervical and lumbar spondylosis, and frozen shoulder & sprains.",59,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442241271_Himalaya-Rumalaya-Forte-Tablets.jpg?alt=media&token=image,"Rumalaya forte,joint pain,jodo ka dard","627cadc6412fc0e68820c487"
Celecoxib (Celebrex),30,"Celebrex (celecoxib) is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Celebrex is used to treat pain or inflammation caused by many conditions such as arthritis, ankylosing spondylitis, and menstrual pain.",56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442344527_Celecoxib (Celebrex).jpg?alt=media&token=image,"Celecoxib (Celebrex),joint pain, jodo ka dard",627cadc6412fc0e68820c487
104-Laxirid-syrup,133,Dabur Laxirid Syrup is an ayurvedic medicine that is primarily used for the treatment of Constipation. Secondary and off-label uses of Dabur Laxirid Syrup have also been mentioned below.,80,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442384702_104-Laxirid-syrup.jpg?alt=media&token=image,"104-Laxirid-syrup,stomach pain,pet dard",627cade9412fc0e68820c489
Ayurvedic KAYAM Tablet,99,"Kayam Tablets have an ayurvedic formulation and are beneficial for chronic constipation and stomach issues like acidity, gas, etc. It contains ingredients like senna leaves, ajwain, haritaki, mulethi, etc. It helps ease bowel movement and provides relief from digestive problems. Now get relief from your digestive complaints and constipation issues with these tablets.",90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442403377_Ayurvedic KAYAM Tablet .jpg?alt=media&token=image,"Ayurvedic KAYAM Tablet,,stomach pain,pet dard",627cade9412fc0e68820c489
himalaya-herbolax-capsule,49,"Herbolax capsule relieves constipation. It contains Trivruth and Haritaki. Ipomoea turpethum (Trivruth) is a mild laxative that treats constipation of varied etiologies. Chebulic Myrobalan (Haritaki) is known in Ayurveda for its natural laxative property, which does not interfere with normal intestinal physiology.",120,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442416562_himalaya-herbolax-capsule.jpg?alt=media&token=image,"himalaya-herbolax-capsule,,stomach pain,pet dard",627cade9412fc0e68820c489
saflex-tablets,110,"Bisacodyl belongs to the class of medications called stimulant laxatives. It is used for the relief of occasional constipation. It can also be used for the preparation of certain medical tests (e.g., colonoscopy), before and after surgery, and in other situations where a bowel movement to required.",150,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442431159_saflex-tablets.jpg?alt=media&token=image,"saflex-tablets,stomach pain,pet dard",627cade9412fc0e68820c489
Hakam-churna,320,"Benefits of Planet Ayurveda Hakam Churna: It has anti-inflammatory properties and helps in relieving chronic conditions like rheumatoid arthritis, sciatica, osteoarthritis, stiffness in the back and cervical spondylitis. This medicine enhances the functioning of the liver and improves digestive capacity.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652442472683_Hakam-churna .png?alt=media&token=image,"Hakam-churna,Gynochlogical Disorder
","627cae9f412fc0e68820c495"
