name,price,description,stock,image,keyword,precaution,ingredients,uses,category
Kutajghan Vati 60 Tablets Asava Arishta Jeerakadyarishta | Effective remedy for Diarrhea,380,"Kutajghan Vati Tablets by Arogyam is created from, Kutaj, a well-known herb in ayurvedic texts for managing dysentery-related chronic diseases. It effectively manages diarrhea, stomach infections, stomach ulcers, and irritable bowel syndrome. It also has the benefits of a secondary Ingredient – Ativishi, which acts as carminative properties. Together these herbs provide excellent solutions to multiple digestive problems

",150,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300405502_planet_ayurveda_kutajghan_vati_tablet_120_s_0.jpg?alt=media&token=image,"Kutajghan Vati 60 Tablets Asava Arishta Jeerakadyarishta | Effective remedy for Diarrhea,loosemotion",Consult a health professional before using ,"Kutaja bark, Ativisha,water","Take 1 tablet twice a day with a glass of water or milk. Or as prescribed by the physician
",628b7d5d2f61643132a89b1f
Baidyanath Bhuvneshwar Ras ,45," Baidyanath Bhuwaneshwar Ras is a great formulation by the house of Baidyanath. It is an excellent ayurvedic combination for stomach problems. It helps treat diarrhoea and dysentery. The herbal ingredients like Amla, Carom seed, Bael and Grihadhuma undergo several quality checks before being included in the product. Because of its authenticity, Baidyanath Bhuwaneshwar Ras has no side effects and is excellent for all kinds of stomach ailments",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300445078_Baidyanath-Bhuwaneshwar-Ras.jpg?alt=media&token=image,"Baidyanath Bhuvneshwar Ras,diarrhea,loose motion","If you are pregnant or lactating, consult your doctor before taking it","Rock salt or Saindhava Lavana, Chebulic myrobalan or Haritaki, Belliric myrobalan or Vibitaki, Gooseberry or Amla, Carom seed or Ajwain, Bael or Bilva, Griha Dhuma or soot of chimney

","You can consume two tablets of Baidyanath Bhuwaneshwar Ras with water or honey every day for two to three months or as directed by your doctor


",628b7d5d2f61643132a89b1f
"Himalaya FlorAvani, 90 Vegetarian Capsules",150,"FlorAvani balances your native bacteria to promote a personal ecosystem of microflora. In a clinical study, it was shown to improve digestion, reduce gas and bloating and promote healthy populations of beneficial bacteria",26,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300470878_floravani-90-vegetarian-capsules-by-himalaya-herbal-healthcare.jpg?alt=media&token=image,"Himalaya FlorAvani, 90 Vegetarian Capsules,diarrhea,looose motion",Pregnant women should not use,"Tapioca starch, plant based cellulose (capsule).", Adults take 1 capsule three times a day after meals,628b7d5d2f61643132a89b1f
Himalaya Immusante Tablet-20,90,"Himalaya Immusante Tablet has broad-spectrum antimicrobial, anti-inflammatory, and antioxidant properties. It is recommended for immunotherapeutic support in situations where immunity is compromised
",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300509763_Immusante-Tabs-3Nx20s-BLISTER-INDIA-F39-MOCKUP_1024x1024.webp?alt=media&token=image,"Himalaya Immusante Tablet-20,loose motion,diarrhea",Do not exceed the recommended dose,"Shanta (Prosopis glandulosa), Lodhra (Symplocos racemosa)","2 tablets twice daily, or as directed by your physician",628b7d5d2f61643132a89b1f
Himalaya Flora sante Capsule 20's,550,Florasante is a gut supplement consisting of room-temperature stable probiotics and a botanical extract. Florasante helps in symptomatic relief from Irritable Bowel Syndrome (IBS) and supports gut health,150,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300549203_Florasante-Packshot_1200x1200.webp?alt=media&token=image,"Himalaya Flora sante Capsule 20's, diarrhea,loose motion",To be used under the medical advice of your health care professional,"Bacillus subtilis, Bacillus coagulans, and Streptococcus thermophilus,Barley beta glucan ,Bael","1-2 capsules twice daily, or as directed by your health care professional",628b7d5d2f61643132a89b1f
Stone Cutter Syrup 200 ml Herbal Supplement for Kidney Health,152,"Kidney care balanced formula of time tested traditional herbs for promoting Kidney Health. Effective for both Men & Women equally is not only created to work on Men’s health, but wonderfully effective for Women as well",150,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300581546_stone-cutter-500x500.jpg?alt=media&token=image,"Stone Cutter Syrup 200 ml Herbal Supplement for Kidney Health,patri",Do not exceed the recommended dosage.,natural herbs,As indicated on bottle or directed by the physician,628b7d5d2f61643132a89b1f
Krishna's Herbal & Ayurveda Patharchatadi Juice (Stone Cracker Juice) - 1000 ml (Pack of 1),390,"Krishna's stone cracker juice is an herbal and ayurvedic formulation for the kidney stone. It is 100 percent nature product by rajputana agrico. . All our products are made from quality items. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information. Care instruction keep away from the items or products which may cause damage to this product",100,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300617421_Krishna's Herbal & Ayurveda Patharchatadi Juice (Stone Cracker Juice) - 1000 ml (Pack of 1).jpg?alt=media&token=image,"kidney medicine,Krishna's Herbal & Ayurveda Patharchatadi Juice (Stone Cracker Juice) - 1000 ml (Pack of 1),patri",No precaution,"Each 100 ml contains Pashan Bedh - 9 % , Barun Chal- 9 % , Gokharu- 9 %, Brahmi - 9 %, Harad- 9%, Baheda - 9 %, Amala- 10 %, Vasha- 10 %, Kutki- 9 %, Chirayata- 9 %, Neem – 9 % with permitted class II preservatives","Twice in a day : Morning - 30 ml Empty stomach and Evening -30 ml, 1 hour After dinner

",628b7d5d2f61643132a89b1f
Stone Breaker Compound,1199,Proprietary formula designed to support kidney and urinary tract health. Stone Breaker Compound is used to support normal elimination of metabolic wastes,70,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300657720_stone-breaker-compound-1-oz-by-herb-pharm.jpg?alt=media&token=image,"Stone Breaker Compound,patri","Consult a health professional before using if you are pregnant, nursing, taking a prescription, or have a medical condition. KEEP OUT OF CHILDREN’S REACH","Stone Breaker herb (Phyllanthus sp), Fresh Parsley leaf & root, Celery seed, Hydrangea root, Fresh Goldenrod herb,Organic Grain and/or Cane Alcohol, Distilled Water, Organic Apple Cider Vinegar (less than 1%)","2-3 droppers with water, two to four times daily, or as needed. Store in a cool dry place. Shake well before use",628b7d5d2f61643132a89b1f
Piles Care Veg Capsule,252,"The Arshsudha piles capsule work amazingly to manage the condition of piles naturally because the ingredients used in the capsule are formulated in such a way that eliminates excess toxins from the body, helps in the digestion, provide strength to the nerves, improve the blood circulation and provide multiple health benefits to an individual",60,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653301317266_Arshshudha-30-Veg-Cap-1000x1000.jpg?alt=media&token=image,Piles Care Veg Capsule,Pregnant women should not use,"Kanchnar,Rasont,Haritaki,Sarun kand,Guggal,Nirgundi",1 to 2 capsules twice a day with plain water or as directed by the physician,628b7d5d2f61643132a89b1f
Piles Rakshak Capsules 60 Capsules,670,"Piles Rakshak Capsules by Arogyam is a formula created to treat piles with ayurvedic formulation created by expert M.D. Ayurveda doctors. It is effective on dry and bleeding piles. The combination of herbs are such that helps reduce the pile mass, softens the hard bowels, reduces constipation. It heals the wound around the pile mass area thus helping the patients with bleeding piles. It is very useful in fistula and internal hemorrhoids. It is an assured solution for piles relation problems",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300693162_Piles-Rakshak-jpg.jpg?alt=media&token=image,Piles Rakshak Capsules 60 Capsules,Consult your doctor before use,"Pipalli,Haritki,Neem,Safeed Jeera,Suta Parada,Gandha,Yavaksara,Chitrak,Lauh bhasma, Dantimool, Sunth, Kali mirch, Piplamool, Surankand, Chava, Vachlochan, Tankan bhasma",Take 1 capsule twice a day after meals with a glass of water. Or as prescribed by the physician,628b7d5d2f61643132a89b1f
Kerala Ayurveda Pilogest Piles Capsules Box Of 100 'S,413,Kerala Ayurveda Pilogest capsule is an ayurvedic medicinal supplement used to treat piles (haemorrhoids) and fistula. It is a 100% herbal mix made of the best quality plant-based ingredients and is effective against all forms of piles,30,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300913128_kerala_ayurveda_pilogest_capsule_pack_of_10_x_10_s_0.jpg?alt=media&token=image,"Kerala Ayurveda Pilogest Piles Capsules Box Of 100 'S, piles,fistula",Consult your doctor before use,"Surana,Citraka,Lajjalu,Puti Karanja,Guggulu,Kanchanara,Triphala,Haridra","Take one capsule three times, daily before food or as prescribed by the physician",628b7d5d2f61643132a89b1f
Mahasudarshana Kadha ,120,"Mahasudarshana Kadha is a complex Ayurvedic decoction used to treat acute and chronic fevers, fever of unknown etiology, malaria, typhoid, headache, respiratory infections, jaundice, debility, cough and breathing difficulties that come along with fever",30,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300885019_mahasudarshan-kadha-baidyanath.png?alt=media&token=image,"typhoid, headache, sar dard, bukhar, jaundice, cough, Mahasudarshana Kadha ",Use under medical supervision,"Nimba, Musta, Shunthi, Parpat, chirayta, kutki, guduchi etc",It can be taken twice or thrice a day after meals as per the doctor’s recommendation,628b7d5d2f61643132a89b1f
Maha Herbals Fever Peace Tablet,220,"Maha Herbals Fever Peace Tablet is an ayurvedic medicine The correct dosage of Maha Herbals Fever Peace Tablet depends on the patient's age, gender, and medical history. This information has been provided in detail in the dosage section",25,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300857464_Maha Herbals Fever Peace Tablet.jpg?alt=media&token=image,"Weakness tablets, kumjori , typhoid, fever,Maha Herbals Fever Peace Tablet",you should always consult your doctor before using Maha Herbals Fever Peace Tablet,"Ashwagandha, Arjuna, Giloy, Haritaki, Ginger, Tulsi","Please remember that every patient and their case is different, so the dosage can be different based on the disease So,Use prescribed amount ",628b7d5d2f61643132a89b1f
Dabur [Maha] Sudarshan Kwath – 225ml,105,"Dabur (Maha) Sudarshan Kwath is herbal medicine which is benificial and provides many profits like,used as in Symptomatic releve in Fever, Tiredness, Vertigo, Thirst, Breathless ness, Cough, Anaemia, Jaundice, Palpitation,. Also indicated in Sciatica, Back pain, Ankle ache

",50,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653300822212_maha_sudarshan_kwath-800x800.jpg?alt=media&token=image,"fever tablet,bukhar ki dawai,headache tablet,sar dard dwai,cough tablet,anemia tablet,jaundice,liver disorder, Dabur [Maha] Sudarshan Kwath – 225ml",Use under medical supervision,"BlackPepper,Ginger,Haritaki,Vibitaki,Amalaki,Clove,LotusFlower etc",1 to 2-table spoonful (15 to 30ml) with equal quantity of water after meals or as directed by the Physician,628b7d5d2f61643132a89b1f
